author,message,badges,emotes
michiamanoposs,yo,"['subscriber', 'premium']",[]
anastasia_ciarlettaa,yo,['subscriber'],[]
giuggi_013,oggi niente livee,['subscriber'],[]
omaymalacustre,come va,['subscriber'],[]
rebecca_lacustre,come statee,"['subscriber', 'premium']",[]
lollieutum8,che hit sta canzone,['subscriber'],[]
amelieutum_lacustre17,yo,['subscriber'],[]
anastasia_ciarlettaa,yo,['subscriber'],[]
llkvara77,ciao,"['subscriber', 'bits']",[]
galaxymatre360,galaxymatre subscribed with theyve subscribed for months,"['subscriber', 'premium']",[]
i_love_netflix__,we,"['subscriber', 'premium']",['lolloKiwidance']
durohnd,ma sai ki ti salutaa,"['subscriber', 'premium']",[]
dinos_auro44,hola,"['subscriber', 'premium']",[]
user_giulia,yo,"['subscriber', 'premium']",[]
simplygaiaa,helloo,"['subscriber', 'sub_gifter']",[]
durohnd,paperella,"['subscriber', 'premium']",[]
noem1__,ciao,"['subscriber', 'premium']",[]
dania_lacustre17,ciaoo chatt,"['subscriber', 'share_the_love']",[]
nackos11,yo,"['subscriber', 'no_audio']",[]
samu1020108,yo,['subscriber'],[]
t_h_o_m_a_s09,bella rega,['subscriber'],[]
forzalakemaggiorelollone,ciao,"['subscriber', 'premium']",[]
anastasia_ciarlettaa,raga domani ho lesame di italiano aiuto,['subscriber'],[]
jessica_dislessicustre,buonasera,"['subscriber', 'bits']",[]
alterele,così subito,"['moderator', 'minecraft_15th_anniversary_celebration']",[]
mika_misa_,bella a tutti,"['subscriber', 'premium']",[]
almalacustre,yo,"['subscriber', 'no_audio']",[]
dinos_auro44,ciao,"['subscriber', 'premium']",[]
ciap_itayt,benvenuti e bentornati,"['subscriber', 'premium']",[]
lula414,ciao chat,"['subscriber', 'no_audio']",[]
violilai,ciao lollone,"['subscriber', 'premium']",[]
galaxymatre360,ciao,"['subscriber', 'premium']",[]
ucciass_,yo ciao a tutti,['subscriber'],[]
forzalakemaggiorelollone,ciao chat,"['subscriber', 'premium']",[]
notdna7,notdna subscribed with theyve subscribed for months,"['subscriber', 'premium']",[]
llilaria_lacustreg3,pridelaugh,['subscriber'],[]
rebecca_lacustre,lollone,"['subscriber', 'premium']",[]
llilaria_lacustreg3,pridelaugh,['subscriber'],[]
amy23112000,wassup raga,['subscriber'],['lolloHi']
michiamanoposs,yo lollone indovina chi ha fatto un diamond tattico,"['subscriber', 'premium']",[]
itssireee,ciaoo bellezzee,['subscriber'],[]
ilarrja,per collegare il tuo amazon e abbonarti gratuitamente a twitch gamingamazoncomloot per abbonarti al canale wtwitchtvsubslollolacustre per capire come usare eo abbonarti helptwitchtvsarticlehowtosubscribe,"['moderator', 'share_the_love']",[]
mika_misa_,come state,"['subscriber', 'premium']",[]
ciap_itayt,pov geometry cash,"['subscriber', 'premium']",[]
matiiii060,ciao,"['subscriber', 'premium']",[]
forzalakemaggiorelollone,benee,"['subscriber', 'premium']",[]
